Customer_ID,Customer_Name,Region,Segment
CUST-0001,Customer 1,North,Consumer
CUST-0002,Customer 2,East,Consumer
CUST-0003,Customer 3,North,Corporate
CUST-0004,Customer 4,South,Consumer
CUST-0005,Customer 5,West,Consumer
CUST-0006,Customer 6,East,Corporate
CUST-0007,Customer 7,East,Consumer
CUST-0008,Customer 8,North,Corporate
CUST-0009,Customer 9,East,Corporate
CUST-0010,Customer 10,South,Consumer
CUST-0011,Customer 11,South,Corporate
CUST-0012,Customer 12,West,Consumer
CUST-0013,Customer 13,South,Consumer
CUST-0014,Customer 14,East,Consumer
CUST-0015,Customer 15,South,Corporate
CUST-0016,Customer 16,South,Corporate
CUST-0017,Customer 17,West,Home Office
CUST-0018,Customer 18,West,Corporate
CUST-0019,Customer 19,South,Corporate
CUST-0020,Customer 20,South,Corporate
CUST-0021,Customer 21,North,Consumer
CUST-0022,Customer 22,East,Consumer
CUST-0023,Customer 23,East,Consumer
CUST-0024,Customer 24,East,Consumer
CUST-0025,Customer 25,North,Consumer
CUST-0026,Customer 26,West,Consumer
CUST-0027,Customer 27,East,Home Office
CUST-0028,Customer 28,North,Corporate
CUST-0029,Customer 29,East,Corporate
CUST-0030,Customer 30,East,Consumer
CUST-0031,Customer 31,South,Corporate
CUST-0032,Customer 32,North,Corporate
CUST-0033,Customer 33,South,Corporate
CUST-0034,Customer 34,East,Consumer
CUST-0035,Customer 35,West,Consumer
CUST-0036,Customer 36,East,Home Office
CUST-0037,Customer 37,South,Consumer
CUST-0038,Customer 38,North,Consumer
CUST-0039,Customer 39,South,Consumer
CUST-0040,Customer 40,East,Consumer
CUST-0041,Customer 41,North,Consumer
CUST-0042,Customer 42,North,Home Office
CUST-0043,Customer 43,West,Consumer
CUST-0044,Customer 44,South,Corporate
CUST-0045,Customer 45,East,Consumer
CUST-0046,Customer 46,East,Corporate
CUST-0047,Customer 47,North,Consumer
CUST-0048,Customer 48,East,Consumer
CUST-0049,Customer 49,South,Corporate
CUST-0050,Customer 50,South,Home Office
CUST-0051,Customer 51,East,Corporate
CUST-0052,Customer 52,North,Corporate
CUST-0053,Customer 53,East,Corporate
CUST-0054,Customer 54,East,Consumer
CUST-0055,Customer 55,West,Home Office
CUST-0056,Customer 56,South,Consumer
CUST-0057,Customer 57,West,Consumer
CUST-0058,Customer 58,South,Home Office
CUST-0059,Customer 59,West,Corporate
CUST-0060,Customer 60,North,Consumer
CUST-0061,Customer 61,North,Corporate
CUST-0062,Customer 62,North,Corporate
CUST-0063,Customer 63,East,Consumer
CUST-0064,Customer 64,East,Home Office
CUST-0065,Customer 65,South,Home Office
CUST-0066,Customer 66,West,Consumer
CUST-0067,Customer 67,South,Home Office
CUST-0068,Customer 68,East,Consumer
CUST-0069,Customer 69,East,Corporate
CUST-0070,Customer 70,North,Consumer
CUST-0071,Customer 71,West,Corporate
CUST-0072,Customer 72,East,Home Office
CUST-0073,Customer 73,West,Consumer
CUST-0074,Customer 74,West,Corporate
CUST-0075,Customer 75,East,Consumer
CUST-0076,Customer 76,South,Corporate
CUST-0077,Customer 77,West,Corporate
CUST-0078,Customer 78,East,Consumer
CUST-0079,Customer 79,West,Corporate
CUST-0080,Customer 80,East,Consumer
CUST-0081,Customer 81,East,Corporate
CUST-0082,Customer 82,East,Home Office
CUST-0083,Customer 83,South,Consumer
CUST-0084,Customer 84,East,Corporate
CUST-0085,Customer 85,East,Consumer
CUST-0086,Customer 86,South,Corporate
CUST-0087,Customer 87,West,Corporate
CUST-0088,Customer 88,South,Consumer
CUST-0089,Customer 89,East,Consumer
CUST-0090,Customer 90,West,Consumer
CUST-0091,Customer 91,North,Corporate
CUST-0092,Customer 92,South,Consumer
CUST-0093,Customer 93,West,Consumer
CUST-0094,Customer 94,South,Consumer
CUST-0095,Customer 95,East,Consumer
CUST-0096,Customer 96,West,Consumer
CUST-0097,Customer 97,East,Home Office
CUST-0098,Customer 98,West,Home Office
CUST-0099,Customer 99,North,Consumer
CUST-0100,Customer 100,South,Home Office
CUST-0101,Customer 101,South,Home Office
CUST-0102,Customer 102,South,Consumer
CUST-0103,Customer 103,West,Consumer
CUST-0104,Customer 104,West,Consumer
CUST-0105,Customer 105,West,Home Office
CUST-0106,Customer 106,East,Corporate
CUST-0107,Customer 107,West,Consumer
CUST-0108,Customer 108,South,Home Office
CUST-0109,Customer 109,North,Corporate
CUST-0110,Customer 110,East,Consumer
CUST-0111,Customer 111,South,Corporate
CUST-0112,Customer 112,West,Corporate
CUST-0113,Customer 113,East,Corporate
CUST-0114,Customer 114,West,Home Office
CUST-0115,Customer 115,East,Home Office
CUST-0116,Customer 116,East,Consumer
CUST-0117,Customer 117,North,Corporate
CUST-0118,Customer 118,East,Consumer
CUST-0119,Customer 119,South,Consumer
CUST-0120,Customer 120,North,Corporate
