Order_ID,Order_Date,Customer_ID,Category,Sales,Profit,Discount
ORD-00001,2024-01-19,CUST-0019,Furniture,233.86,-6.57,0.23
ORD-00002,2024-01-11,CUST-0115,Furniture,398.01,1.28,0.18
ORD-00003,2024-01-07,CUST-0076,Office Supplies,30.99,1.99,0.17
ORD-00004,2024-01-11,CUST-0075,Office Supplies,116.12,12.19,0.1
ORD-00005,2024-01-13,CUST-0098,Technology,580.04,82.19,0.14
ORD-00006,2024-01-21,CUST-0106,Technology,615.66,76.22,0.17
ORD-00007,2024-01-11,CUST-0080,Technology,441.25,67.46,0.12
ORD-00008,2024-01-03,CUST-0032,Office Supplies,79.01,6.96,0.13
ORD-00009,2024-01-20,CUST-0098,Technology,403.34,71.15,0.08
ORD-00010,2024-01-04,CUST-0086,Office Supplies,125.46,13.27,0.1
ORD-00011,2024-01-07,CUST-0027,Technology,832.05,98.47,0.18
ORD-00012,2024-01-05,CUST-0005,Furniture,567.2,15.35,0.13
ORD-00013,2024-01-03,CUST-0052,Office Supplies,83.04,7.97,0.12
ORD-00014,2024-01-12,CUST-0047,Office Supplies,97.53,13.63,0.04
ORD-00015,2024-01-15,CUST-0065,Technology,448.08,50.64,0.19
ORD-00016,2024-01-23,CUST-0027,Office Supplies,85.94,11.64,0.04
ORD-00017,2024-01-26,CUST-0116,Technology,679.99,95.47,0.14
ORD-00018,2024-01-01,CUST-0024,Office Supplies,106.67,11.25,0.1
ORD-00019,2024-01-18,CUST-0027,Office Supplies,115.93,8.83,0.15
ORD-00020,2024-01-22,CUST-0051,Technology,595.62,76.74,0.17
ORD-00021,2024-01-05,CUST-0113,Technology,290.75,53.39,0.07
ORD-00022,2024-01-04,CUST-0014,Technology,408.19,51.3,0.17
ORD-00023,2024-01-05,CUST-0023,Office Supplies,93.99,12.76,0.04
ORD-00024,2024-01-20,CUST-0009,Technology,201.8,40.55,0.03
ORD-00025,2024-01-11,CUST-0080,Technology,513.39,84.22,0.1
ORD-00026,2024-01-21,CUST-0010,Technology,258.54,36.39,0.14
ORD-00027,2024-01-17,CUST-0031,Office Supplies,29.85,2.61,0.13
ORD-00028,2024-01-28,CUST-0050,Furniture,103.2,-6.08,0.29
ORD-00029,2024-01-21,CUST-0033,Technology,305.01,47.07,0.12
ORD-00030,2024-01-09,CUST-0100,Furniture,430.96,-6.31,0.21
ORD-00031,2024-01-11,CUST-0035,Technology,442.03,70.86,0.11
ORD-00032,2024-01-21,CUST-0023,Office Supplies,110.87,11.59,0.1
ORD-00033,2024-01-06,CUST-0009,Office Supplies,108.69,8.69,0.15
ORD-00034,2024-01-18,CUST-0109,Office Supplies,97.87,7.39,0.15
ORD-00035,2024-01-18,CUST-0099,Office Supplies,108.46,9.46,0.13
ORD-00036,2024-01-03,CUST-0113,Technology,363.83,51.25,0.14
ORD-00037,2024-01-23,CUST-0059,Office Supplies,128.25,11.39,0.13
ORD-00038,2024-01-18,CUST-0107,Office Supplies,95.43,9.28,0.11
ORD-00039,2024-01-12,CUST-0099,Technology,444.94,65.71,0.13
ORD-00040,2024-01-05,CUST-0030,Furniture,547.41,30.67,0.08
ORD-00041,2024-01-02,CUST-0006,Furniture,291.88,-5.33,0.22
ORD-00042,2024-01-26,CUST-0063,Technology,675.85,100.19,0.13
ORD-00043,2024-01-02,CUST-0005,Office Supplies,70.76,4.45,0.18
ORD-00044,2024-01-07,CUST-0007,Office Supplies,122.94,11.44,0.12
ORD-00045,2024-01-22,CUST-0118,Office Supplies,108.0,14.6,0.05
ORD-00046,2024-01-25,CUST-0046,Technology,437.69,71.0,0.11
ORD-00047,2024-01-28,CUST-0031,Furniture,198.81,-4.76,0.23
ORD-00048,2024-01-20,CUST-0109,Furniture,522.29,-3.14,0.19
ORD-00049,2024-01-08,CUST-0085,Office Supplies,119.29,12.67,0.1
ORD-00050,2024-01-26,CUST-0063,Office Supplies,81.4,8.22,0.11
ORD-00051,2024-01-14,CUST-0087,Office Supplies,130.29,13.63,0.1
ORD-00052,2024-01-24,CUST-0053,Technology,385.69,64.07,0.1
ORD-00053,2024-01-26,CUST-0090,Office Supplies,145.75,16.12,0.09
ORD-00054,2024-01-26,CUST-0083,Office Supplies,59.43,1.38,0.25
ORD-00055,2024-01-24,CUST-0046,Office Supplies,103.7,14.66,0.03
ORD-00056,2024-01-09,CUST-0074,Office Supplies,92.58,9.91,0.1
ORD-00057,2024-01-23,CUST-0037,Technology,147.29,19.19,0.16
ORD-00058,2024-02-28,CUST-0067,Technology,385.37,54.15,0.14
ORD-00059,2024-02-16,CUST-0045,Technology,504.35,68.11,0.15
ORD-00060,2024-02-27,CUST-0108,Technology,328.85,31.77,0.22
ORD-00061,2024-02-12,CUST-0013,Office Supplies,64.62,3.97,0.18
ORD-00062,2024-02-26,CUST-0107,Technology,485.77,87.35,0.07
ORD-00063,2024-02-08,CUST-0049,Office Supplies,65.4,7.58,0.08
ORD-00064,2024-02-07,CUST-0102,Technology,406.57,44.8,0.2
ORD-00065,2024-02-09,CUST-0083,Furniture,299.33,-19.43,0.3
ORD-00066,2024-02-25,CUST-0083,Office Supplies,66.12,2.89,0.21
ORD-00067,2024-02-21,CUST-0061,Technology,476.9,70.96,0.13
